id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
12293741,Private Master Suite-Right Next To Back Entrance!,60349425,Sara,,Lower West Side,41.85581344233314,-87.65539560959559,Private room,70,3,189,2018-09-24,6.36,1,15
12304462,Huge 3br/3ba w/unobstructed views!,24388042,DeLuxe,,Near North Side,41.890690919470366,-87.62316147672009,Entire home/apt,670,90,0,,,15,365
12307449,"Chicago Local Living, 4 Beds, Panoramic Roof Deck!",44183153,Alex And Brittany,,Near North Side,41.90895675230525,-87.64000780662741,Entire home/apt,154,1,95,2018-09-23,3.16,1,166
12308104,"Cozy room, private bath, Hyde Park",18607361,Frank (And Meridith),,Hyde Park,41.80156563014309,-87.59705164548329,Private room,40,1,163,2018-09-17,5.36,1,89
12309053,Resort type living in Chicago.,66377597,Merrill,,West Town,41.892401119498814,-87.66221385565154,Private room,110,1,45,2018-06-02,1.49,2,0
12321714,Peaceful Room in Boho Artist Home,42865476,Kate,,East Garfield Park,41.88621580937091,-87.70058982575814,Private room,54,1,189,2018-10-08,6.27,3,355
12323073,Mag Mile 2br/2ba bargain! A+ walks!,5214172,Teo,,Near North Side,41.89979500465688,-87.62462838071922,Entire home/apt,199,2,44,2018-09-20,1.55,2,32
12324124,Bright and Convenient 2BR in Logan,22567515,Jennifer,,Logan Square,41.92981420762506,-87.69851427876651,Entire home/apt,89,2,84,2018-10-08,2.99,1,91
12330769,Family friendly home in Chicago w/ garage!,66546874,Adrienne,,Irving Park,41.9568644771304,-87.71586063790221,Entire home/apt,249,2,29,2018-10-07,0.99,1,84
12334385,中唐【304】Chinatown (Private Bedroom),60390549,Zhi,,Armour Square,41.84787267362416,-87.63258414376664,Private room,48,1,110,2018-10-07,3.75,10,334
12343100,4 BEDROOMS 2 Bt  in Little Italy near Loop UIC,46160528,John,,Near West Side,41.871637634205854,-87.66427796522882,Entire home/apt,240,2,78,2018-09-20,2.90,11,268
12361720,"Entire 1 BD APT/BATH, Private Patio & Free Parking",9267871,Andy,,Lincoln Park,41.91890104389215,-87.6442115897923,Entire home/apt,132,2,163,2018-09-21,5.39,1,251
12362902,Beautiful 2 Story Chicago Home,63282581,Shelley,,North Center,41.947837233287395,-87.68798323085694,Entire home/apt,189,2,75,2018-09-30,2.51,1,11
12379595,Modern and Spacious Apartment in Hip Wicker Park,2209061,Michelle,,West Town,41.90057010019517,-87.67361861353102,Entire home/apt,225,3,17,2018-09-17,0.60,2,168
12382366,Charming Museum Park Town House,66219209,Bindi,,Near South Side,41.86441561915254,-87.62143235680722,Entire home/apt,450,3,22,2018-07-28,0.76,1,0
12389299,Top Floor Suite Logan Square/Avondale - CentralAir,19137232,Patricia,,Avondale,41.932283932747694,-87.7190033666226,Entire home/apt,80,3,53,2018-09-29,3.50,1,0
12422521,The Heart of Wicker Park: 2 Bedroom,19707929,Chris,,West Town,41.909566411901274,-87.67847543477872,Entire home/apt,175,3,12,2018-05-23,0.42,1,36
12434982,"Sunny Room, 1 Street to Lake",8028727,Jorge,,Uptown,41.97438581921489,-87.65509059173701,Private room,36,3,69,2018-10-08,2.44,1,239
12435111,Convenient & Beautifully Updated Pilsen Flat,4981421,Peter And Krista,,Lower West Side,41.85595292084369,-87.6612652699684,Entire home/apt,125,2,173,2018-10-02,5.75,1,41
12445585,Home Near McCormick Place,49859277,Terry,,Grand Boulevard,41.82371357830749,-87.6181989662588,Entire home/apt,125,2,55,2018-10-09,2.06,1,324
12448898,River North CLEAN MODERN SLEEK RoofTop Pool,49626033,Roma,,Near North Side,41.887773657189726,-87.63401614878555,Entire home/apt,150,30,0,,,19,259
12451721,"Garden Apartment Gallery, GAG",5855398,Marlene,,East Garfield Park,41.88720180131587,-87.71440332427026,Entire home/apt,120,3,38,2018-09-30,1.42,1,20
12452076,LOCATION + VIEWS MAG MILE 2 BEDROOM,49626033,Roma,,Near North Side,41.893690552280525,-87.61548515859664,Entire home/apt,195,120,1,2016-06-02,0.03,19,365
12464708,The Chicago Bungalow - Entire Single Family Home,15277773,Angela,,Avondale,41.935408037310665,-87.69374423316562,Entire home/apt,175,1,42,2018-09-25,1.47,1,262
12466030,Huge 2 bedroom 9 minutes 2 downtown,10917550,Nicky,,East Garfield Park,41.88760540507149,-87.70264174570781,Entire home/apt,133,1,154,2018-09-24,5.16,13,347
12471348,River North Luxury 1BR A+ view!,49626033,Roma,,Near West Side,41.887046524197835,-87.63937293400163,Entire home/apt,157,140,3,2016-07-14,0.10,19,364
12478685,Logan Square- Steps from the train!,6213939,Drew,,Logan Square,41.919758097138846,-87.70060993771895,Private room,60,1,9,2016-07-31,0.32,2,0
12482142,Cozy quaint bedroom avaliable.,67442885,Omowande Ayoola,,South Shore,41.77253766265531,-87.57230211021896,Private room,40,1,59,2018-09-23,2.01,1,361
12489153,"HOT 3 Bedroom Greystone, Great Location!!",34357437,Amber + Brandon,,Logan Square,41.93042086209563,-87.7037153268397,Entire home/apt,140,2,145,2018-09-24,4.99,1,90
